branch,pr,ancestor_of_main,cherry_unmerged,merges_clean,uniq_files,uniq_loc,behind,age_days,ci_failtest,verdict
agent-lock-architecture-overview,open#324,no,672,yes,1741,160472,57,2,skip,KEEP
chore/docs-audit-reports,closed#299,no,668,yes,1732,160489,57,12,skip,CLOSE-SAFE
chore/security/upgrade-dev-deps,open#327,no,616,yes,2781,169722,57,16,skip,KEEP
chore/security/upgrade-vitest-vite,open#328,no,617,yes,2780,158383,57,16,skip,KEEP
claude/capabilities-audit-52xql7,closed#405,no,631,yes,1960,166140,57,8,skip,CLOSE-SAFE
claude/create-markdown-mermaid,none,no,1,yes,1557,158499,16,2,skip,REVIEW
claude/database-schema-extraction,open#436,no,3,no,1556,158131,14,2,skip,KEEP
claude/dazzling-edison-0468aj,closed#388,no,681,yes,1715,157361,57,9,skip,CLOSE-SAFE
claude/dazzling-edison-06kjqd,closed#390,no,684,yes,1714,157558,57,9,skip,CLOSE-SAFE
claude/dazzling-edison-1lbv9a,closed#386,no,681,yes,1715,157507,57,9,skip,CLOSE-SAFE
claude/dazzling-edison-47c5po,closed#400,no,1,yes,1694,157710,43,9,skip,CLOSE-SAFE
claude/dazzling-edison-4aiu6o,closed#376,no,681,yes,1715,157378,57,10,skip,CLOSE-SAFE
claude/dazzling-edison-5kw3xm,closed#369,no,683,yes,1715,157177,57,10,skip,CLOSE-SAFE
claude/dazzling-edison-5uxyqn,closed#380,no,681,yes,1715,157615,57,10,skip,CLOSE-SAFE
claude/dazzling-edison-5wps75,closed#373,no,681,yes,1714,157603,57,10,skip,CLOSE-SAFE
claude/dazzling-edison-95u1m4,closed#374,no,681,yes,1715,157582,57,10,skip,CLOSE-SAFE
claude/dazzling-edison-bhkmhg,closed#371,no,682,yes,1715,157581,57,10,skip,CLOSE-SAFE
claude/dazzling-edison-emn6e2,closed#370,no,681,yes,1714,157544,57,10,skip,CLOSE-SAFE
claude/dazzling-edison-g5dftr,closed#385,no,681,yes,1714,157685,57,10,skip,CLOSE-SAFE
claude/dazzling-edison-gcfkkw,closed#367,no,681,yes,1715,157417,57,10,skip,CLOSE-SAFE
claude/dazzling-edison-hoefgl,closed#366,no,679,yes,1716,156891,57,10,skip,CLOSE-SAFE
claude/dazzling-edison-j79g5c,open#434,no,1,yes,1563,158197,17,3,skip,KEEP
claude/dazzling-edison-k7x14i,closed#382,no,681,yes,1715,157507,57,10,skip,CLOSE-SAFE
claude/dazzling-edison-ntgy52,closed#389,no,684,yes,1714,157547,57,9,skip,CLOSE-SAFE
claude/dazzling-edison-pap026,closed#375,no,681,yes,1715,157396,57,10,skip,CLOSE-SAFE
claude/dazzling-edison-ra3f0m,open#412,no,3,no,1682,152941,27,7,skip,KEEP
claude/dazzling-edison-w5yvz0,closed#368,no,681,yes,1694,158532,42,9,skip,CLOSE-SAFE
claude/dazzling-edison-wquuan,closed#377,no,681,yes,1714,157543,57,10,skip,CLOSE-SAFE
claude/dazzling-edison-ymkr67,closed#378,no,681,yes,1714,157640,57,10,skip,CLOSE-SAFE
claude/determined-maxwell-06popt,open#442,no,2,no,5,270,2,1,skip,KEEP
claude/determined-maxwell-nb1zz3,closed#440,no,4,no,1503,160146,8,2,skip,CLOSE-SAFE
claude/evaluate-unused-folders,open#439,no,1,no,557,152120,16,2,skip,KEEP
claude/explore-codebase-implementation-plan,closed#317,no,646,yes,1742,156664,57,12,skip,CLOSE-SAFE
claude/gifted-keller-9tw3p4,open#415,no,1,yes,1682,158527,27,6,skip,KEEP
claude/help-github-docs-page,none,no,653,yes,1731,159694,57,12,skip,REVIEW
claude/repo-architecture-review-Aewa3,closed#228,no,623,yes,2105,167056,57,2,skip,CLOSE-SAFE
claude/review-session-history-tips,none,no,673,yes,1716,156954,57,10,skip,REVIEW
claude/todo-implementation-d49k3i,open#448,no,1,yes,1,73,0,0,skip,KEEP
code-health/remove-commented-code-main-py-9476992181961570048,merged#356,no,671,yes,1721,157514,57,10,skip,REVIEW
codex/uvai-studio-realtime,none,no,620,yes,1963,167312,57,23,skip,REVIEW
copilot/add-ast-validation-layer,open#316,no,696,yes,1558,158186,13,2,skip,KEEP
copilot/complete-repo,open#430,no,1,no,1681,158597,27,3,skip,KEEP
copilot/explore-codebase-implementation-plan,none,no,2,no,1687,158730,27,3,skip,REVIEW
copilot/find-tips-from-github-changelog,open#432,no,4,yes,396,71909,5,2,skip,KEEP
copilot/find-uvai-projects-and-test-repos,closed#333,no,670,yes,1725,160120,57,12,skip,CLOSE-SAFE
copilot/list-latest-open-pull-requests,merged#428,no,0,no,1680,158254,27,3,skip,REVIEW
